Review,Rating
"After lock down,it was my first stay in hotel. I had many doubt about to stay .. but Hyatt Regency Gurgaon is absolutely nice & I really satisfy... In fact after 11 months I met my friend & they had a kid.. they also enjoyed a lot.. kid is very happy & enjoyed a lot",5
"Everything i want from a star hotel , i get even in covid kaal ! I service, quality of food were great! Booked regency suit is also great splly JACUZZI INJOYED VERY MUCH ! Sure will come again during normal ( covid over ) conditions",5
It was my professional trip. I was looking for the safe and relaxing stay and my expectations were full filled. I am always advise my colleagues to stay in this hotel again and again. All the best to this staff and members,5
"It was a good experience staying at Hyatt Manesar. The hospitality has been upto the mark, staff is well professional and co-operative, food is decent.  Mr. Ajit Rana (the restaurant manager) is a well-professional staff and made our restaurant experience much better with his warm and dedicated services and help. Thanks.",4
We had a  for a birthday party of my wife... The cleaniness and quality of hotel was very good... superb breakfast along with stay... Enjoyed a lot... Highly recommended.. prices are also very reasonable with amazing services,5
Excellent hospitality... N great care taken by me. Ajit n his subordinate Deepak..  Excellent room and maintenance by the hospital staff..   Stay is worth every penny..do try out the full board stay at the regency suite.. do club it with a long weekend,5
"I very fabulous hotel in India hyatt hotels are very nice vishal, shankar diksha, akshit are very good people they have assisted very well all the time i faced zero problems I sujjest every person to stay in this hotel",5
"Vishal , shankar , khagendra (chef) janki(security) akshit, diksha a very fabulous hotel in Gurgaon they treated us very nicely and the best hospitality in india I guess I recommend every one to stay in this hotel",5
"Vishal Malik, Shankar , diksha , Nishant , akshit , were so polite and tha hospitality was fabulous .A fabulous hotel to stay a very nice and cosy stay I recommend this hotel To every person in the world",5
Excellent hotel with awesome staff service  and behavioural attitude. My stay was made comfortable by individuals like chef Poonam and Harbhajan. Keep up the good work. Food and beverage service are also satisfactory and was very tasty. ,5
Hyatt Regency is a classy hotel in Gurgaon. It's quite fairly priced with an amazing service attitude. The package of a room with two included meals was also pretty awesome. The regency suite is simply amazing and very spacious. The staff is very helpful either it be Balkishan at the front desk or Vikash serving drinks behind the counter in The Lounge. All in all we had a blast. Would recommend and would visit again.,5
My family is attended by harbhajan and amit the food made by chef poonam is great and sachin and ajay delivered the food to table and they are polite towards family. The food was delicious and italian food is great. Thanks to Amit Harbhajan Ajay Sachin and chef poonam for making my day prosperous,5
"All staff members are well cooperative and friendly in nature. My family is attended by Harbhajan ji, Amit ji, Sachin ji, Ajay ji and poonam. They attended my family very well and the food served was very tasty and liked by the family members and they are happy with the food. Thanks to all members specially Harbhajan,Amit,Sachin,Ajay and Poonam.",5
"It is very beautiful designed and good infrastructure and interior.. Excellent service by all the staff members mr.Harbhajan Singh, mr.Amit,mr.Sachin and mr.Ajay they are very respectful and helpful and the food was so delicious and healthy by chef poonam they serve all Verity of food from North Indian to Italian   totally love that place.",5
"My family is attended by harbhajan sir and amit sir they both are cooperative and friendly in nature. Sachin and ajay are also nice people they attend us very sincerely and the food prepare by chef poonam is great. Will suggest hyatt food to my friends. Harbhajan,Amit,Sachin,Ajay,Poonam thanks to you all for this great dinner with my family. My family like food very much. Thanks to you all",5
"Vikash from f&b is very humble, patient and polite. He served us really well, amazing communication and great service. The food was delayed for more than 30 mins but he kept his calm and provided us with exceptional service. Good employees like him is what makes hotels great",5
"We visited Hyatt Regency for a dinner. The food was amazing. We particularly loved the North Indian Kebab platter and The Lava flow - this is one of the best non alcoholic drink I ever had.   The staff was very very courteous, and polite. Himanshu served us amazingly. Our food was prepared by chef Poonam and we actually met the bartender - Satveer to thank him for the amazing drink I had tonight (and to know it’s recipe of course 😉)",5
