Review,Rating
We have stayed at taj lake palace for two nights along with family & friends. Breakfast fast & dinner was delicious. Service was fantastic & memorable. Mr Ayush Jain who attended us for breakfast & dinner given us very personalised  service. His understanding for our taste & need was exceptional. I thanks Mr Ayush for his extraordinary services.,5.0
"had an amazing and mesmerizing experience. The staff was very welcoming. Every small thing was taken care of. special thanks to the staff, Navneet, Iti, Anjali, Rhea, Sameer, Iqbal. Narendra for making us feel so comfortable and for making our stay memorable",5.0
"On the last day of our trip to Udaipur we decided to stay at the Taj Lake Palace Udaipur and I am so glad we decided to do that. It truly is worth experiencing. The location, service, food and hospitality is unbeatable. ",5.0
"Visited the property for a private dinner for our anniversary. Was amazed by the hospitality and service which were only second to the gorgeous views of take Pichola. The food was delectable and chef was kind enough to accommodate all of our dietary preferences too. Our steward aayush took great care of us, from taking care of our temperature preferences to clicking gorgeous pictures in the property. Couldn’t have asked for better! Thank you team taj. Looking forward to coming back again for more!",5.0
"Where should I start..........I mean we were in a totally different world. The ushering and check in were absolutely spot on. Siddharth at the front desk is well versed with his job and immediately made a great rapport with us. We were made aware of house rules and covid restrictions etc and ushered in our upgraded Palace Room. Then started a dream holiday for a couple of days. Every person went out of their way to make sure every whim and fancy of ours was taken care of. Hemant Singh Chauhan knows his history very well, Pradeep was always proactive and knew exactly what we wanted before we asked for it, Raag was superfluous with his recommendations in the bar, not to forget Lakshya and Chef Manish Joshi and many many more who go on to make this beautiful property a real palace",5.0
"Wonderful service from food and beverage team Ayush Jain,maan singh,vinod and lalit and cheif Chotelal and Ajay in the restaurant was so amaging, and for other service thanks to Manager Pramod as well  From HK Surendra was great asset rest all HK ok still need more briefing IT service need slight improvent and sevice traing is required. Especially wifiservice  Being Taj is my pariwar it is not a complaint against LPU it is just a feedback to improve the service for the guest, since guest is paying very heavy for all our Palcial hotel which need to be taken care minute  Ravindra S & fly belong to Taj pariwar Thankyou",5.0
Just got back from the lake palace. The place is beyond compare. The setting is absolutely magical. It feels like you're in a heritage ship. The lobby and other common areas are beautifully maintained. But I did feel that there should be more sign boards around to guide you to the various teracces and picturesque corners of the palace. They have a 24/7 boat service to take you to and from the property of you wish to venture out.  The staff is courteous and the housekeeping was prompt and good. Except the day we checked in there were no hand and face towels and no foot towel at the tub which caused the bathroom to get wet. Also the towels were very bad and thin quality. The next day we had a better set of towels. Now coming to the food and service in the restaurants... It's just,4.0
"Exceptional hospitality and service. Well trained staff. Outstanding infrastructure and facilities with immaculate maintenance.  Extremely relaxing and rejuvenating. Working from home over the internet, as well as online meetings were as convenient as pleasurable.  Overall a great memorable experience. ",5.0
"We stayed at taj lake palace for 2 nights for our 10th anniversary. Everything was fine from the staff to the cleanliness. We had a good time at the property. Just the food was not up to the Taj standards that we expected. We had all the meals included , so everything from the breakfast to dinner was very average. We went to the other properties in Udaipur like udaivillas and Leela, where the food was way better than Taj. So all in all I would only recommend Taj to improve their food.",4.0
"We had the most lovely time at the tan lake palace. The property , accommodations food and service is unmatched. I could testify to that after having been to the other two main properties at lake Pichola, the lake palace is by far the best in all aspects. Their overall hospitality is impeccable and the staff makes you feel extremely at home . We’ve been spoiler rotten with all the pampering and I can’t wait to be back super soon. Special mention to Mr.Pradeep and Mr.Nikhil who assisted us at the restaurant(s) for their attention to detail and personalised care for the guests",5.0
