Review,Rating
"I had gone there to spend a cosy close knit New Year’s Eve with family. We were looked after like we were their own. There were a few misunderstandings with our rooms booked online, but Mr Krishnan (GM) himself got involved and assured a very comfortable stay. Special thanks to Mr Rishi (Front Desk), Mr Rahul (Duty Manager) and Mr Amit (In Room Dining) who made us feel at home like family. Thank you all for the Tajness experience :)",5.0
"I have stayed in multiple Taj properties, obviously the best one was in Aguada. While checking in on  28th, I was constantly asked for deposit. I was told the mini bar will be removed, if deposit is not made. However, I told ,  I prefer to settle it while checking out , as I have done in my previous Taj stays. Once I checked into the room, I received a call from reception, that I have to give my card details, for keeping a reference in file. Now, once the in-room dining delivered the food in the room, the person who delivered insisted, that the bill has to be settled immediately. It seems Taj doesn't trust their customer at all, even three star hotels settle in room dining during check out. @Taj this is cheap, and being a TIC member, I will this is damn unprofessional. I did",2.0
"We checked in at Taj Palace, Delhi on 12-12-20 for one night with friends. We took 2 rooms with breakfast and the booking was done via Taj mobile software.  When we checked in the hotel, I was informed that our reservation is without breakfast. So I again logged in to the taj website and showed the hotel staff that the offer is still on the taj website. But to my surprise they told me that it's without breakfast and I will be required to pay for breakfast. Then they offered that they will allow 2 people Buffett breakfast but other 2 need to pay.  So basically, if Taj software/backend screws up, the Delhi Taj is so arrogent that they will not co-operate and you will bear the burden. I have stayed in many taj hotels in Jodhpur, Udaipur and Jaipur and their staff is so so",2.0
"This iconic building located in the heart of Delhi, a stone away to the power centres at Lutyens Delhi, is close quarters with the seat of the government, city’s diplomatic corps, cultural centres and commercial hubs. Taj Mahal Hotel is an architectural marvel and an epitome of hospitality. The Hotel has 292 luxury rooms and suites which offers incomparable and spectacular views of the capital city. Consumer - God concept, a legacy of the Taj dominates the day-to-day affairs at the Taj Mahal hotel in New Delhi  At the outset, multi-layer safety protocols have been put in place, necessitated by the Covid crisis. Though the safety protocols could be troublesome, it is however meant for our safety. For instance, the swimming pool and sauna facilities are no longer available.",5.0
"Rooms were very neat and clean, very higenic.but I was disappointed by the quality and taste of food served. The food was taste less and even found the quality was not good. Other than food everything was awesome.",3.0
"We stayed at Taj Mahal for 1 night, to celebrate my husbands birthday. They made the occasion special with a yummy chocolate cake.  The grandeur of the hotel is amazing and because it was COVID times, the pool was closed.  The club room gave access to the lounge offered great variety of teas and snacks. The room size was average and we had a view of the Rashtrapati Bhavan from our room.   Karan from the front desk was very helpful during check in and upgrades. Rishi, one of their team members also ensured that we get an extended check out at 7pm(as we had to a hospital admission that evening and there were delays)  Machan is a restaurant that one shouldn’t miss. Great choice of protein for lunch/dinner and do try their pancakes for breakfast!   It was a shame that Farq was not",5.0
"Need to improve on cleaniness I was not given re heating of food, I asked if i can use a microwave some where to which i was denied  They was some drilling soun in adjacent room ad well which was quite loud as well",4.0
"So, I stayed at Taj on my Birthday, and I had a wonderful stay. Mr. Amarender has been very kind and ensured best service, late check out, safety & a room of our choice. A delicious complimentary chocolate Cake was arranged for us in the Empire Lounge. And I must thank the most warm and super amazing Chef Abhinav who prepared a special personalised dinner, another complementary desert and breakfast menu for us at the Newly Renovated restaurant, The Machan,  food was really delicious.  Also, I must mention the Breakfast was ala-carte but one of the best I had, with the unique, high quality and lavish to choose from, it was the highlight of our stay. Thank you Deepak for servicing us so well.  I would love to come over again soon.  Though, The rooms are old fashioned, but the",5.0
The hotel is located in prime location and is a great place to stay. Could have rated 5 but going with 4 coz of the change of room i had to do for a reason.   Satyajit was great in assisting with the check in and the room change. ,4.0
Great Caring people . Right from the Entry to Exit . Seamless operations . Great Team work . Clean spikes and span. All hygiene.  Very good food to tickle ur taste buds . Beautiful surroundings.  Great atmosphere .,5.0
"Hotel booked for one night, but extended stay to 4 days , Front Desk Manager Aryan made our stay wonderful,enjoyed with daughter's wedding, friends, amazing Services,Food,F&B, House  keeping, following 100% Covid 19 safety rules and regulations,safe to stay",5.0
Great hotel gr8 service gr8 staff.if looking for everything perfect go for Taj .I can say Taj is Taj among others for their customers.Food is really good .Hotel ambience is good.Staff is good . Everything is perfect,5.0
Visited on business. I am a senior lawyer. I loved Taj Mahal Hotel. Great room with brilliant views. Courteous service. Excellent restaurants. Good Business Center. Very good room service. Overall - very satisfied.,5.0
"Hospitality at its best , smooth check-in and check-out , great food and service , rooms are good and clean but only drawback is that toillets are small, accomodated all our requests including early check-in and late check-out , highly recommended",5.0
"I spent a couple of nights in the Delhi branch of my favourite hotel chain, TAJ. As usual, the welcome is astonishing, and everything ay the Taj is delivered to the highest standard. As with my previous visit to India, I used this as respite after a week's study trip, and made use of all the facilities - like the laundry, pool and room service. I thought the breakfast was especially good here. As usual theta was faultless, and also really well located - there many auto rickshaws, Uber and a nearby tube station to explore Delhi, and so I was able to pack a huge amount into my three days, including a trip out to the actual Taj Mahal in Agra!.] My favouite staff member was Deepak who made me a delicious packed breakfast to take on my early departing flight.",5.0
"The staff is really lovely. The restaurant was also nice. We tried the Chinese restaurant the first night and as we were a big group the Manager helped us make sure there was not too much or too little food. It was perfect amount. The concierge at first seemed a bit lazy to help out with reservations for outside restaurants but than after me insisting on other options they came trough. The breakfast was also ok, basic options for foreigners that are scared of Delhi belly but the eggs were great and had fruits and bread options.  Nevertheless, the rooms.. oh boy the rooms.. pleaseee, do something about it. I felt like I was at an Agatha Christie room scenary. The bathrooms also,could really use a revamp. Your hotel has a great location but the above floors are stuck in 1920s.  I",3.0
"Spent time at this hotel on both the front and back end of a trip to India in February (remember those days, when we could travel the world???). The service was quite good...from the front desk agents, to all the support staff throughout the hotel. They have a great breakfast buffet, with both Western and Eastern food selections (take the opportunity to try new things!). Besides the restaurant where breakfast is served, there are a LOT of food options on-site, and a nice bar. As for the rooms...absolutely amazing pillows....I got such good sleep every night! They also have a nice shower with excellent water pressure. (When I travel, nothing wakes me up like a good strong shower!) The rooms also had plenty of bottled water, and a nice tea set-up. The biggest complaint was",4.0
"Everything exceeded expectations. We knew from long past visits that the Taj was an excellent hotel but even then we were overwhelmed by the friendliness, courtesy, warmth and efficiency (including the recovery of my iPad left behind in the plane seat pocket) of all the staff in these stressing Corona virus times. We were treated as royalty for all our 4 days from arrival to departure. The facilities despite ongoing refurbishment works were top notch. The location of the and the cuisine at the restaurants were superb. The attention to detail was amazing - restaurant and bar managers addressing you by name on second visits and asking if you wanted the same cocktail as on the previous night.  While there was nothing we did not like, the only improvement we would like at the Taj is",5.0
We need to wake up with a positive mood!! Do modernize your toilets.  There's  no health faucet in the toilet. This would definitely ensure physical hygiene. We need this and NOT the tissue paper culture.,3.0
"Our stay in the Taj was unexpected, because Rocio (my girlfriend got a strong ankle sprain). But it was by far the best decision.   Since our beginning all the staff people were amazing with us, starting with the valet guys, security team, reception desk, to summarize all the staff from the hotel, every single person we had the chance to met was always smiling, showing interest for the ankle recovery and being very kind with us during our stay.   We stayed around 10 days, the hotel is magnificent. If you want the best service and luxury level don't think twice, this is the place.   I would like to mention some persons we had the chance to met while we stayed there.   In chronology order, since our arrival, at the reception desk we met Harish, amazing guy, very helpful with all",5.0
From the time of airport pick up till the time of check out and the airport drop every service was provided with a clock work precision. one does not need to ask for anything. everyone was highly efficient and courteous.,5.0
I am still waiting for email to get invoice. No one taking care of this. Also checking in took too much time. Paying so much and getting this kind of services is not acceptable. Poor front desk service pulling my score down otherwise room was very good and breakfast was nice,2.0
"I would like to let you know how much I enjoyed my stays at Taj Hotels.  I stayed at the Taj Mahal Hotel in Dehli from 2 to 5 Feb 2020 and at the Taj Green Cove from 12 Feb to 19 Feb2020 at the Taj Green Cove Hotel Kovalam.  In both hotels, I experienced excellent service from the staff at the reception desk, who helped organise outings and were absolutely professional and charming. The staff in the restaurants were exceptional and could not have been more helpful and attentive.   The general managers and their at the Taj Green Cove were exceptional and made sure that every part of a guests stay was an exemplar in customer service.   I would like you to thank the staff at both hotels on my behalf and I assure you that following the excellent experiences at the Taj that I will",5.0
"We were celebrating the 45th anniversary of our parents with a family stay here. The pickup form the airport was efficient, the checkin was quick. Our parent’s suite was spacious and well appointed, our rooms were good with views of Presidents palace and India Gate. It is amazing to see that Delhi is still so green in these parts…  The property, though extremely well kept, is showing age in corridor carpets and much more in the bathrooms  - these are small and cramped with dark tiles, even in the suite. The hotel is undergoing refurbishment, which is great, but the constant drilling until 6pm can be annoying if you want to relaxed stay.   Breakfast in Varq was a small space with long queues, House of Ming was a much nicer experience.  The famous Machan was closed for renovation.",4.0
"Stayed here with colleagues for a series of meetings with representatives of the government - the hotel is very well located for that sort of engagement and the taxi service from the hotel very reliable.  The hotel is about 45 mins from the airport in normal traffic, but I’d allow a full hour if going back to the airport just to be safe.  The hotel is spotless, luxuriously presented and the staff are extremely helpful and friendly. It contains a popular bar and restaurants, and club members have their own private restaurant and bar.  Rooms were great - good size, clean, comfortable bed, good shower, good work area and sufficient free internet (you can upgrade for a fee if you are a heavier user). Great for business but highly recommended for couples or leisure. It’s all at a",4.0
"Just got back from two weeks in India and the Taj Mahal in Delhi was one of the highlights of our stay.  The hotel was immaculate and all the staff were extremely polite, courteous and extremely helpful. For example, the lift operators immediately remembered our floor and swiped their cards to select our floor, gave us a friendly greeting by mentioning our surname each time they saw us. The pool staff were extremely helpful in organising our loungers, covering them with fresh towels and providing water.  But the highlight has to be meeting Chef Mohit and the other members of staff serving at the breakfast restaurant. I was keen to try the Indian breakfast dishes from the buffet and asked advice about what and how to eat. What followed can only be described as total pandering. As",5.0
"Stayed here prior to returning back to the UK Lovely location, beautiful flowers and decor. Upgraded room, unfortunately very small, extremely hot and unable to lower air con below 20 Celsius. Small old fashioned bathroom. Had dinner and breakfast in the hotel. Dinner was a la carte with plenty of choice. Mostly served cold and sorry to say not very good. Breakfast buffet style and very nice. The staff in the hotel were very nice and helpful but I felt tried too hard to please.  This hotel was the most expensive one we stayed in during our India vacation and the expectation was far greater than reality. Sorry but doesn’t live up to the hype and just not worth it.",4.0
"I had the privilege of two stays in a month at Taj Mahal in two of the Taj Club rooms.  Everything from the airport pickup in a smart chauffeured car, to the personal host greeting bypassing the reception straight to the prepared room, to the room, restaurants, bar and gym/spa were impeccable in every way.  While there are signs of significant wear and tear in some parts, the housekeeping teams keep the place in pristine condition.  The beds are superbly comfortable. My frustration with every hotel is their cursory attention to environmental responsibility with the use of single use plastics for toiletries and unnecessary change of linens and towels.   Dining at House of Ming for the breakfast buffet and the Chinese food were amazing.  The Indian food at Varq was competently",5.0
The hotel is very clean and comfortable. We were very well received and the rooms are very spacious. There are three restaurants to choose and they’re all delicious. Breakfast has a lot of Indian options but the western options on the menu are delicious as well!,5.0
if on vacation don't forget to visit Khan Market located in the vicinity of the hotel. Its a beautiful old property with good hospitality. Areas of improvement is house keeping and plumbing!!! the breakfast service here is really good too!!!,4.0
"The moment we entered the hotel it was all mismanagement and the hotel staff was weird and disoriented but later when there was intervention of Mr. Supreet Singh it was a MAGICAL TRANSFORMATION all of a sudden just like what happens in a CINDRELLA STORY. We were given an early check in, followed by lovely cake and bouquet and later on our room was upgraded to suite followed by dine in at the HOUSE OF MING courtesy Mr. Singh. And to top it all we were even given bathing therapy as a complimentary gesture from the hotel itself. The weird staff became very organised, the food was heavenly, hospitality was par excellence and the experience became very pleasant from pathetic. Thank you so much for everything! 🙏",5.0
"I visited this hotel last year to meet one of my friends whom had a residency there. The hotel was lovely and rooms were spacious and clean.  The pool was large, plenty of loungers and each day the attendants would ask me if I wanted to sit in the sun or in the shade. As I’m not one for sun bathing, they would move a lounger and put it under the tees so I could have some relief from the hot Indian sun. They would place and position the towels over the lounger and give me an ice cold bottle of water.  Breakfast was lovely too, a mixture of Indian and international breakfast items, there was a buffet as well as an a la crate menu. The staff at the hotel would suggest places for me to visit both in Delhi and in the wider area. I booked my trips to Agra, Jaipur and Amritsar through",5.0
"The Taj Mahal hotel is an icon, gracing a beautiful green neighborhood of New Delhi with wide boulevards and stately homes. This hotel has been around for a long time and even though it is in the process of a beautiful makeover and facelift, it is by far the best choice to experience home away from home. The Taj staff has raised the bar on customer service and care. Every staff member I encountered was extremely polite, courteous, friendly, efficient and helpful. It seems like a whole lot of compliments but believe me, they do deserve it.  Whether it was the front office representatives, or the staff at the lounge, or the housekeeping crew, each person I met went above and beyond to make us feel welcome. I was totally floored by the professional customer care.  We had our",5.0
Love the floral display upon entry and the lovely mosaics that look like tapestries.  The Machan Restauant provides delicious Italian fare as well as traditional Indian Food.  We sampled both.  Would highly recommend this restaurant. The rooms are smaller but nicely appointed. Bathrooms need updating.  Grounds are spectacular. Staff are very welcoming.  ,5.0
"The staff couldn’t do enough to help me at this hotel, service was exceptional. Rooms spacious and very clean. Bar was nice and they have evening events such as wine and cheese. I had room service one evening which was very good and ate in their multi culture restaurant another evening which was a pleasant experience and the food tasty. Breakfast was again very good their pancakes become my favourite! Would stay again on another visit.",4.0
"It was nice experience again at Taj Mahal Hotel popularly known as Taj Mansingh. Great courtesy by staff, good food, nice room and best hospitality. I will be glad to stay at Taj Mahal again whenever I visit Delhi.",5.0
"Hey All, Though Machan is under renovation but the place for time being is still buzzing with perfect meals under the supervision of very proficient Supervisor Rahul who is Highly Hospitable and so are his Team members!!! Mukesh is such a gentle sweet host👌😇 Gurwinder Singh serves the perfect meals in perfect manner!! Great Food quality at Machan. Not to miss their scrumptious preparations!!! Amazzzzzing Grilled Fish, delicious Kathi with your choice of perfectly blended cold coffee or any other drinks!! Must visit to enjoy the irresistible food😇 ",5.0
"Every staff person employed was attentive and helpful, particularly Rahul Sharma and Sanjay Kumar. The hotel is lovely and well maintained.   The food was excellent.   All recommendations provided by hotel staff were perfect.",5.0
"I just love this place. Cool to hang out. Wonderful hospitality, polite staff ready to help you out, sumptuous and delicious food that surprises you wonderfully on every visit. Ambience is good and the rooms are comfortable. Being situated strategically, every happening place is just 5 minutes away",5.0
"We stayed at Taj Mahal Hotel in Dec 2019 for one night and had a horrible stay, which was completely their staff's fault (they even admitted it), but they refused to refund the room rate.   We checked in late night after 1 am because of our flight being delayed and the check-in staff knew we were staying with kids and that I had requested non-smoking room, but still the staff gave us a smoking room! When I entered our room at 1:30 am, I found a cramped/tiny room, barely enough to fit two adults, let alone 4 people, as is claimed by Taj Mahal hotel on their site and right away I noticed an ashtray in bathroom, which was odd, but I was too tired to connect the dots. However, in the morning around 6 am, we got a rude surprise to what a big mistake I made booking this hotel, when we",1.0
"I had the good fortune to be able to stay at the Taj Mahal twice over the past two months, and would definitely return there on any future trip to Delhi. Great location for government offices, embassies, India Gate, and easy to walk to Lodhi Gardens and Khan Market. Property is being renovated and updated and even older rooms are exceptionally comfortable, well maintained and well kitted out. Food and service were exceptional and the back gardens make for a nice oasis in the midst of a busy city.",5.0
"Stayed with family, Very nice place to stay, awsome service and restaurants. Kids also enjoyed and want  to go back again. Highly recommended... Chef at restaurants were very flexible and looked after every needs",5.0
A wonderfully appointed and very high-class hotel superb service all you would expect from a five star hotel of this nature. A good selection of restaurants to eat from and very high-quality food. It was my birthday while we were here and they set out a lovely message of happy birthday in flower petals in the room,5.0
I stayed at several hotel of Taj chain during several last years and I don´t have any reason to try different accomodation. Taj always provides great support in foreign environment and combined with unusual level of comfort.,5.0
"The Taj Mahal is excellent in everyway. The hotel is beautiful  and the staff are very welcoming.  The service is impeccable with great attention to detail to make your stay a special experience.  This is the best trained staff I have encountered in a hotel world-wide. We were warmly greeted the moment we arrived. The buffet breakfast is extensive and well-prepared.  The manager of the restaurant chats with guests, and one staff member, Ravi, makes suggestions for things to do and goes out of his way to connect with guests. Another staff member from reception was very helpful and concerned when a family member  was not feeling well. I highly recommend this beautiful, well-managed hotel.",5.0
"The start of our adventure was acclimatisation by 24 hours in this hotel before travelling on. Nothing is too much trouble and Taj hotels pride themselves on catering to all whims. Surprised by the wide open avenues of New Delhi, but not by the noisy traffic this is a haven well placed to start an exploration. Mildly disappointed that we could not find a way to have tea on an outdoor terrace in the pleasant balmy afternoon sun. Back to Delhi later in the trip for more sightseeing.",5.0
Rooms were spic and clean. The hotel staff were very nice and helpful. The food was excellent obviously. Amenities were nice. I did not waste time waiting for any service. They had everything ready beforehand. The overall experience is very nice.,5.0
"I was not stayed here but i visited there for once with friends to take lunch. Amazing Lobby, out side are, lawns, swimming pool all are up to mark. food quality is superb must visit again. well managed property neat and clean all around. services are good. excellent memories are capture there. thanks to team and management of the hotel. will recommend to all....!!",5.0
"Arrived later on Christmas Eve and were treated royally. The service, ambience and hotel was truly 5star. Wonderfully looked after and the House of Ming for celebratory dinner was perfect. Breakfast , concierge staff - cannot fault as all totally committed to the guests. ",5.0
"The Taj was everything we had hoped for: beauty, kindness, comfort. The staff was extraordinarily helpful and made our stay even more pleasant. We felt very safe and lucky to be there. Could not recommend this more.",5.0
"The stay was amazing , the staff was very loving and the hotel is a gem itself. Special thanks to miss aishwarya at the front desk !  The breakfast spread was great at the house of ming ! Would come back soon !",5.0
"As a frequent guest here, I love the ""Taj-ness"".  The quality of service is always superb.  Lately however I have stayed at several other 5-stars in New Delhi and must say that the guest rooms need some upgrades, especially the bathrooms.  The gym and spa can also use refreshing.  The service here is unparalleled but the facilities (sadly) need investment to compete with the new properties in the area. ",4.0
"Taj needs to go back to its glory days, it’s not good anymore. Old reputation built over a long period can only last so long. It’s sad to note that it’s not that same hotel as it used to be and loved by all who visited the place.",3.0
"Overall the stay was good, but I feel that the property needs renovation as the rooms and amenities seemed a bit outdated. Apart from this everything else was perfect, as is the case always with any other Taj Property. The rooms were clean with comfortable bed and pillows. The breakfast spread was good.",4.0
"Taj Mahal Mansigh, New Delhi an deal Place to  have any event. My experience was regarding the Wedding hosted by my Family. One cannot go wrong with the Taj Groups' hospitality. Rooms very comfortable. Very wide choices for different Cuisines. All in all a perfect Hotel",4.0
"Great and affordable. I loved the breakfast, and ordered banana pancakes and scrambled eggs while there. The bed was comfortable, the tv had lots of channels, and my room was always thoroughly cleaned. I would highly recommend staying here.",5.0
"We truly enjoyed our stay; excellent location, nice room and most importantly, very friendly staff! We had some ""old history"" with the place and the staff really made us feel welcome and far exceeded their duties by organizing  a small ""reunion/farewell party"" for us! Many thanks and see you next time!",5.0
Poor  Bathrooms are not in good condition its very dirty and there is bad smell coming out from the bathrooms even no proper facility of room too. I thought that the Taj Mansingh Hotel is Excellent but i did not satisfy with the Taj Management and room is also insufficient ,2.0
"Efficient and courteous service. Location was excellent and suited the purpose of our visit to a T. Would have liked an earlier opening time for the Fitness Centre , 6.30 am being a little late for my liking",5.0
"Good place to stay. My stay was short but it was nice. Taj Mahal hotel is close to the heart of the delhi. Connectivity is good. But, Food is very expensive.Kebab not so good.. It hardly takes 25 min when no traffic to airport",4.0
"This hotel was an upgrade on our tour and it left us wanting more upgrades! A gorgeous facility, conveniently located for sightseeing around Delhi. They say you get what you pay for, and this 5-star property is not cheap. If you're willing to re-mortgage your home, there are five restaurants ... all of which are suitably expensive. MACHAN = a tree top hide constructed for spotting game when hunting. Now features international cuisine. HOUSE OF MING = Sichuan and Cantonese food. RICK’S bar with weekend music. VARQ = Indian but really upscale (one of Asia’s top 50). EMPEROR LOUNGE = tea, coffee, nibbles. Having said all of that, the breakfast buffet was the most extensive and well-presented breakfast of a 3-week tour.",5.0
It was my second visit to a Taj property and i am truly overwhelmed by their hospitality. I felt as if i was welcomed home. Every staff was very courteous and took care of our most basic need. If you are having dinner there avoid Machan.,5.0
"Apart from ease to check in.. the entire experience to stay @ a Taj was extremely extremely substandard.. the rooms were very very old, little smelly of the carpet, average bed and worst was the bathroom (must be atleast 20-30 yr old shower), toiletries were very very average and towel were bad.. even at breakfast the staff was very inattentive and slow to what was needed. Buffet spread was okay .. indeed a poor experience.. no where close to Taj standard with the kind of money paid.. complete rip off",1.0
"It's one of the best hotels in Delhi. I stayed here for 3 days starting from Dec.1. I was there for a conference. The best part of my stay was that I don't have anything to complain about the time I spent there.. lol. The check in and check out experience was excellent. Food was good. The entire team of staff was extremely courteous. I stayed in the 6th floor. The room was very spacious, clean and comfortable. The day I checked in I ordered some food to the room, and it was very delicious and the quantity was more than I could consume. Being a frequent traveler, I compare the services of hotels and write my opinions and ratings based on my personal experiences. Hence I would recommend this property as one of the best in Delhi in all aspects.",5.0
An Exciting Experience. The hotel is with an elegant ambience. Great lobby with lovely decors and comfort. Good reception response. Cashier Deepak is an asset employee. Housekeeping service is great. Rooms are good. Cleanliness is great.,5.0
"Recently stayed here with our group of 12 friends. The entrance lobby of the hotel is opulent and the staff were friendly and efficient with our check in. Unfortunately we were all placed on a dual smoking and non-smoking floor which I have never heard of before. We had specifically requested All Non Smoking rooms so it was disappointing when some of the rooms smelled so bad that we had to request a move to another floor. This request was handled quickly and efficiently and staff apologised for the inconvenience, but I’m not sure why this happened in the first place. Apart from that issue, the hotel was good and the restaurant and service of a good standard. The hotel location is very good. I have no hesitation in recommending this hotel but just double check you are staying in",4.0
Was in delhi for a summit at Taj Palace and was staying here this is a very old property huge palatial lobby jus love the coffee shop here had several meetings here the rooms a tad bit old now and need some serious upgradation but very cozy and comfortable rooms nice spacious the food was little concern for me as both the nights i called food from in room dining on day one had murg tikka chawal which was very basic like very average and on second night called for chicken burnt ginger rice with chicken gravy recommend by the guys at in room dining again very average taste liked some Chinese from a run down Chinese restaurant and that too very highly over priced the breakfast was also very basic and average not a great spread.,4.0
