Review,Rating
"Great Hotel, well positioned for the Taj. Really pleasant and helpful staff. Fantastic shop on lower floor. Stayed there 2 years now and will definitely stay again when in Agra. Thank you for a lovely stay.",5.0
"The staff at the hotel are great - always trying to make your stay comfortable.  Facilities were to a good standard and clean.  Rooftop restaurant gives a fairly good view of the Taj if you get the right seat, and the food was great.",4.0
"When you are at Agra what are the most important things you look for?  1) A stay closest to Taj with a view of Taj from rooftop 2) A hearty welcoming host and sincere advisory  3) Good ambiance and food   You get all 3 here with A+ scoring. Most importantly the host. Yes, I must mention Mr. O.P Yadav, the GM. Please refer to him for anything you need and surely he'll be of help, including arranging your Agra sightseeing at the cheapest possible cost.   What you get as a bonus is the puppet show, the live music and live artwork of traditional Sufi or Mughals from people who actually belong to the same dynasty who made the Taj Mahal. Isn't is awesome! Even if you don't buy their items, the making of the art work at the hotel is worth seeing.   I stayed with my family including my",5.0
"excellent hotel, staff were friendly and courteous, 24 hr geyser, clean and tidy. roof top restaurant awesome, lobby well decorated, rooms are clean and airy,toilet are clean and full of nice toiletarires. but food little costly, overall experience was good",5.0
"Me and my wife stayed at Hotel Taj Resorts for 3 nights and we had an amazing time there. Brand new installations, staff very polite, great restaurant and pool area. Only few minutes away from Taj Mahal. Highly recommend Hotel Taj Resorts",5.0
"Spent a few days in Agra viewing the Taj, fort and other main sites with a guide. The hotel is comfortable and great value, rooms are clean with all amenities, pool and restaurant, the view from upstairs is amazing. Staff are very helpful, we had to book extra nights with no problem. Downstairs at the hotel is a gem of an artwork shop, authentic marble goods at a reasonable price - plus a huge variety of local fashion clothing. The staff in the shop can explain the origin of all pieces - highly recommend buying from Vimal and his team. We stayed away from the tourist shops outside the Taj!!! The restaurant food is great accompanied by live authentic Indian music most nights - a bonus...",5.0
"We had a gerat stay at the Hotel Taj Resorts.  Excellent location, Excellent service, Great food at the hotel restaurants, Made very good transportation arrangements. Over all very good experience at Taj Hotel Resorts.",5.0
"We had a very pleasant stay at the Taj Resort hotel. Delicious breakfast and the rooms are a good size with a fridge, comfortable beds, bathroom and everything else you need. The rooftop has a good restaurant but also a terrace to relax and overlook the Taj Mahal. Very nice that we could just walk to the Taj Mahal. The staff at the reception and from housekeeping are very friendly and treat their guests with respect and provide good service.  We were lucky that we arrived at the hotel just before Mr Trump visited Agra, because otherwise we would not be able to visit this wonder of the world. The staff tried to make sure we could enjoy our stay in Agra even where the city was taken over by the authorities. ",5.0
Great hotel within walking distance to the East Gate. Couldn’t have asked for a better located hotel.   We took an evening stroll to check out how far the Taj East Gate was and felt very safe.  Very helpful staff. Wish we could have stayed longer.,5.0
"Had the most wonderful time, excellent stay, great service and delicious food. Would love to visit again. Ambiance is really great with lovely live folk music in the evening. Would love to highlight the super cooperative staff and the yummy breakfast masala poha!",5.0
